Name		Status
Fast-Forward		Banned
Atrocity		Banned
Holocaust		Banned
The King of Gold, Midas		Banned
Dictatorship		Banned
Ao		Banned
Strike From Above		Banned
Herald of Distrust		Banned
San-roku		Banned
Me-nana		Banned
Sui-hachi		Banned
Dai-kuu		Banned
Mei-Juu		Banned
Huisuo		Banned
Prohibition		Banned
The Six Eyes		Banned
Posideion, God of the Seas		Banned
Grade Check		Banned
Meteor Shower		Banned
Keithkaio		Banned
Cursed Teddy Bear		Banned
Chronomyle, King of Time		Banned
The BLADE		Banned
Hell's Priest		Banned
The Chosen of The Void Sparks		Banned
Your Last Leg		Banned
Necromancer		Banned
Earthbound Summoning		Banned
Oriya, Old God of Envy		Banned
King of Games		Banned
Power Play!		Banned
Shadow Luker		Banned
Golden Touch		Banned
Herald of Truth		Limited
Muiruoko		Limited
Prayer of Life		Limited
