Name		Grade	Moons	Type	ATK	HP	Card Type	Skill/Effect
Warlock		X	0	Demon/Deity	4000	8000	Ritual	(Wire 4) Once per turn, you may pay 3 moons to activate one of these effects: "Negate any card's effect for the duration of the turn, and if it is not a Monster, destroy it.", "Destroy 1 monster and negate all destruction effects or grave effects until this effect resolves". When this card is sent to the grave, this card is shuffled into the deck, any banished copies of "Red, God of Wrath", "Alkali, God of Gluttony", "Avarice, God of Greed", "Odia, God of Envy", "Atrifus, God of Sloth", "Consupi, God of Lust", and "Haught, God of Pride" are sent to the grave, and any copies of "The Sinful" are shuffled into the deck.
Amazoness		X	0	Deity	3500	7900	Fusion	(FM: ("Hell's Knight", "Hell's Rook", "Hell's Bishop") or ("Heaven's Knight", "Heaven's Rook", "Heaven's Bishop")) If any monster on this card's row, column, or 2 zone vincinity is destroyed by battle, this card can sacrifice itself to destroy the attacker. If it is sent to the grave by this effect, you may revive it next turn. You can pay 2 moons; this card can deal overshoot damage equal to this card's ATK - the defending monster's ATK rather than dealing damage to the defending monster.
Dowager Kris - Future Century		X	0	Magic/Deity	2500	8000	Fusion	(FM: "Empress Kris - Present Day") This card can attack twice. If this card is destroyed, you can revive it, but its effects are negated.
House Payment		X	11	Trap	N/A	N/A	Cantrip	Choose a grade. If the grade chosen is below Grade-A, summon 2 monsters Grade-B or below from your deck or hand, ignoring moon costs or summoning conditions. Else, summon 1 monster Grade-A or above (excluding Grade-X) from your deck or hand, ignoring moon costs or summoning conditions.
Cheat Dragon		X	0	Trap/Deity	3700	6200	Fusion	(FM: "Faketrip", 1 "Gandorah" monster, 1 "Kaiju" monster) Once per turn, after the Draw Phase, roll 1d6, and choose an effect for the turn depending on the result. 1: "If you would pay an amount of moons, you can choose to pay part or all of the amount with 800LP per moon instead." 2: "Ritual Monster summons are Wire 0." 3: "Sacrifice Monsters are treated as Normal Monsters, and their cost is tripled." 4: "Your opponent loses 5000LP." 5: "Fusion and Ritual Monsters are treated as Normal Monsters except Grade-X monsters, and their cost becomes their grade value + 2. (F = 1, D = 2, C = 3, etc.)" 6: "Your opponent can only play the leftmost or rightmost card in their hand. They cannot reorder their hand. Any card drawn on this turn by your opponent will go on the leftmost side of their hand, in the order drawn, and any card discarded will discard from the rightmost side of their hand, regardless of whether or not the discard would be random."
Red, God of Wrath		SS	8	Demon/Deity	3500	5000	Monster	Once per turn, you can spend 4 moons for this monster to attack again.
Alkali, God of Gluttony		SS	8	Earth/Deity	1000	5000	Monster	If a monster is destroyed, this card can gain half its ATK rounded up.
Avarice, God of Greed		SS	8	Air/Deity	3000	4600	Monster	Gain 1 moon for every monster destroyed.
Odia, God of Envy		SS	8	Water / Deity	3000	6000	Monster	When this monster is summoned, it gains one Envy Counter. Once per turn, you may pay 3 moons to add one to the Envy Counter, or subtract 2 from the Envy Counter to take control of an opponent's monster until Odia leaves the field.
Atrifus, God of Sloth		SS	8	Ice/Deity	2600	4600	Monster	Every monster can only attack once every other turn.
Consupi, God of Lust		SS	8	Water/Deity	2000	6000	Monster	Select 1 card on the field. This card gains that card's effect as its effect until this card is destroyed. If the card chosen is an Assist, Cantrip, or Trap, the corresponding moon cost is applied to the effect, and this card can only use that effect once per turn.
Haught, God of Pride		SS	8	Dark/Deity	4000	4000	Monster	Unaffected by Assist effects. Any "Red, God of Wrath", "Alkali, God of Gluttony", "Avarice, God of Greed", "Odia, God of Envy", "Atrifus, God of Sloth", "Consupi, God of Lust", and "Haught, God of Pride" you control cannot be targeted.
Solar Flare Knight - Beginning of Time		S	3	Fire/Deity	3600	5000	Sacrifice	Once per turn, you can sacrifice this card to destroy up to 6 moons' worth of cards. If sent to the Grave by this effect, you may revive this card in 3 turns. Any HP lost by this card does not regenerate if this card is revived by its effect.
Empress Kris - Present Day		S	3	Magic/Deity	2000	6000	Sacrifice	This card can attack twice.
Saigon Dragon - End of Time		S	3	Water/Deity	2300	5000	Sacrifice	When this monster is destroyed, destroy all monsters and all cards in both hands. Then, shuffle the Grave into the Deck, and both players draw 5 cards.
Rewind Sorcerer - Manipulator of Time		S	3	Magic	2400	3200	Sacrifice	Once per turn, you may pay 5 moons to undo the current turn, or pay 6 moons to skip both players' turns after the End Phase. Each time you activate this effect, this card loses 800HP. The moons and HP paid by this effect do not regenerate if the turn is undone.
Force - Embodiment of Time		S	3	Deity	0	0	Sacrifice	This monster's summon is Unrespondable, and it cannot be destroyed by battle. This card takes no overshoot damage from battles involving it. (Wire 3) Once per turn, you can sacrifice this card to negate and bounce any card played this turn, and refund its Moon cost to the controller (and add +2 if it was an opponent's card, -2 if it was your card.). If the card is destroyed due to this effect, you may revive this card next turn.
Sacreil - God of Time		S	3	Deity	0	10000	Sacrifice	(Wire 4) Once per turn, you can pay 6 moons to add 1 to a Time counter, or subtract 2 from the Time counter to skip your opponent's turn.
Chronomyle - Outside of Time		S	3	Deity	0	10000	Sacrifice	(Wire 4) Once per turn, you can pay 5 moons and change the Wire of one card for the turn.
The Sinful		S	4	Ritual	N/A	N/A	Assist	You can summon "Warlock" from your hand by banishing "Red, God of Wrath", "Alkali, God of Gluttony", "Avarice, God of Greed", "Odia, God of Envy", "Atrifus, God of Sloth", "Consupi, God of Lust", and "Haught, God of Pride" from the grave.
Herowatasube		S	0	Ice	3700	6500	Fusion	(FM: 2 Grade-B or above Ice monsters) This monster is immune to the effects and damage of other Ice monsters. This monster is affected by the effects of Earth monsters regardless of negation, and when attacked by an Earth monster, this card takes 700 damage in addition to battle damage.
Dagora		A	6	Water	2600	3500	Monster	(Wire 2) You may pay 2 moons for this card to be immune to one attack.
{{BLACK2psFULL}}		A	5	Tech	2300	3300	Monster	(Wire 3) You may discard 1 card and sacrifice this monster to destroy 1 card.
Locator Dragon		A	2	Tech	2000	3600	Sacrifice	Once per turn, you can pick any filled zone on the field. Destroy the card in that zone and the card in your opponent's corresponding zone if there is any, then lock both zones until the next turn ends.
Assault Dragon		A	2	Tech	1600	3000	Sacrifice	This card can attack any amount of times for 2 moons each attack after the first.
Decline Dragon		A	2	Tech	1800	3300	Sacrifice	Takes half damage. If this card is destroyed by battle, tutor any Grade-C or below Cantrip.
Soulsphere		A	2	Cantrip	N/A	N/A	Cantrip	Remove from play any one card in any grave.
Wedding Bells		A	4	Multi-Turn	N/A	N/A	Assist	Select 1 monster on the field. Your opponent selects 1 monster on the field. If either monster is destroyed, destroy the other monster. This card stays on the field until its effect is fulfilled.
Wedding Dragon		A	0	Seraphim	2900	5900	Fusion	(FM: "Wedding Bells", 1 "Dragon" Monster) Once per turn, you can pay 6 moons to activate one of these effects: "Select 1 monster on the field. Your opponent selects 1 monster on the field. If either monster is destroyed, destroy the other monster. This card cannot be selected via this effect.", "Sacrifice this card to destroy one of your own cards. If this card was sent to the grave by this effect, revive it next turn.", "Gain 6 moons, then remove this card from play to remove any other card on the field from play."
Fake Magic		F	1	Instant	N/A	N/A	Assist	Discard 4 cards and destroy 1 card on the field.
Hell's Pawn		D	1	Demon	200	1200	Monster	If this card is still on the field after 5 turns since its summon, sacrifice it and summon any one of "Hell's Queen", "Hell's Knight", "Hell's Bishop", or "Hell's Rook". If any monster to the northeast or northwest of this card is destroyed by battle, this card can sacrifice itself and send one card from your hand to the grave to destroy the attacker.
Hell's Knight		B	5	Demon	1800	2900	Monster	If any monster that is exactly 2 zones away fron this card in any cardinal direction is destroyed by battle, this card can sacrifice itself to destroy the attacker. Once per turn, this card can move 2 zones in any cardinal direction. If it lands on an opponent's zone, give control of this card to your opponent.
Hell's Rook		A	7	Demon	2300	3000	Monster	If any monster on this card's row or column is destroyed by battle, this card can sacrifice itself to destroy the attacker. Once per turn, this card can move to any zone on its column or row, If it lands on an opponent's zone, give control of this card to your opponent.
Hell's Bishop		B	6	Demon	1800	2700	Monster	If any monster on this card's diagonal is destroyed by battle, this card can sacrifice itself to destroy the attacker. Once per turn, this card can move to any zone on its diagonal. If it lands on an opponent's zone, give control of this card to your opponent.
Hell's Queen		S	8	Demon	2900	3500	Monster	If any monster on this card's row, column, or diagonal is destroyed by battle, this card can sacrifice itself to destroy the attacker. Once per turn, this card can move to any zone on its diagonal, column, or row. If it lands on an opponent's zone, give control of this card to your opponent.
Hell's King		SS	9	Demon	0	0	Monster	This card's summon is Unrespondable. Cannot be destroyed by battle, and any overshoot damage involving this card is set to 0. If this card leaves the field due to an opponent's effect, discard 4 cards from your hand. Any "Hell's Pawn", "Hell's Knight", "Hell's Rook", "Hell's Bishop", and "Hell's Queen" on your side of the field gain 700 ATK. Once per turn, this card can move 1 zone in any direction. If it lands on an opponent's zone, give control of this card to your opponent.
Heaven's Pawn		D	1	Seraphim	0	2500	Monster	If this card is still on the field after 5 turns since its summon, sacrifice it and summon any one of "Heaven's Queen", "Heaven's Knight", "Heaven's Bishop", or "Heaven's Rook". If any monster to the northeast or northwest of this card is destroyed by battle, this card can sacrifice itself and send one card from your hand to the grave to destroy the attacker.
Heaven's Knight		B	6	Seraphim	0	3500	Monster	If any monster that is exactly 2 zones away fron this card in any cardinal direction is destroyed by battle, you can discard 2 cards to destroy the attacker and this card can reposition itself to that zone. Once per turn, this card can move 2 zones in any cardinal direction. If it lands on an opponent's zone, give control of this card to your opponent. You can destroy this card and another card you control to destroy an opponent's card.
Heaven's Rook		A	7	Seraphim	3500	4500	Monster	If any monster on this card's row or column is destroyed by battle, you can discard 2 cards to destroy the attacker and this card can reposition itself to that zone. Once per turn, this card can move to any zone on its column or row, If it lands on an opponent's zone, give control of this card to your opponent. You can destroy every card on this column or row, including this one, and give your opponent 1 moon for each card they control Grade C and below destroyed, and 2 moons for every Grade B and above destroyed, - 1.
Heaven's Bishop		A	7	Seraphim	0	4000	Monster	If any monster on this card's diagonal is destroyed by battle, you can discard 2 cards to destroy the attacker and this card can reposition itself to that zone. Once per turn, this card can move to any zone on its diagonal. If it lands on an opponent's zone, give control of this card to your opponent. While this card is on the field, other "Heaven's Queen", "Heaven's Knight", "Heaven's Bishop", or "Heaven's Rook" you control cannot be controlled by others. If a monster you control is on an opponent's zone, give one zone to your opponent until that monster is on one of your zones. If an opponent's monster is on a zone when that zone becomes yours as a result of this card, destroy that monster.
Heaven's Queen		S	8	Seraphim	0	5000	Monster	If any monster on this card's row, column, or diagonal is destroyed by battle, you can discard 2 cards to destroy the attacker and this card can reposition itself to that zone. Once per turn, this card can move to any zone on its diagonal, column, or row. If it lands on an opponent's zone, give control of this card to your opponent. If this card is still on the field after 4 turns since its summon, gain 5 moons.
Heaven's King		SS	9	Seraphim	0	0	Monster	This card's summon is Unrespondable. Cannot be destroyed by battle, and any overshoot damage involving this card is set to 0. If this card leaves the field due to an opponent's effect, discard 4 cards from your hand. Any "Heaven's Queen", "Heaven's Knight", "Heaven's Bishop", or "Heaven's Rook" on your side of the field gain 1000 ATK. Once per turn, this card can move 1 zone in any direction. If it lands on an opponent's zone, give control of this card to your opponent.
Bait Doll		S	4	Multi-Turn	N/A	N/A	Cantrip	Put one Bait Counter on any monster. Any monster that has an optional effect and a Bait Counter, when its effect is applicable, must use its effect and exhaust its Bait Counter. This card stays on the field until this effect is resolved. This card can be destroyed.
Red Rose Tint		S	4	Cantrip	N/A	N/A	Cantrip	Select 1 monster. This turn, if that monster does not attack, it is destroyed.
Insurance		A	0	Instant	N/A	N/A	Assist	Discard 1 card for every 5 moons of debt you are in, rounded up, and clear your tab.
Earthly Pawn		F	1	Earth	200	1000	Monster	If this card is destroyed, you may discard a card and tutor "Earthly Court". If this card is on the field after 4 turns since its summon, sacrifice this card and summon any one of "Earthly Knight", "Earthly Priest", "Earthly Turret", "Earthly Prince", or "Earthly Princess".
Earthly Knight		D	2	Earth	1200	1800	Monster	Give this card one Sin Counter for each monster it destroys. If this card is still on the field after 4 turns since its summon, and it has no Sin Counters, sacrifice it and summon "Heaven's Knight". If this monster is destroyed while it has at least 2 Sin Counters, summon "Hell's Knight" next turn. 
Earthly Priest		D	2	Earth	900	2000	Monster	Give this card one Sin Counter for each time it attacks. Give this card one Murder Counter for each monster it destroys. If this card is still on the field after 4 turns since its summon, and it has no Sin Counters, sacrifice it and summon "Heaven's Bishop". If this monster is destroyed while it has at least 3 Sin Counters or 1 Murder Counter, summon "Hell's Bishop" next turn. 
Earthly Turret		C	3	Earth	1500	2200	Monster	If this card is still on the field after 4 turns since its summon, sacrifice it and summon "Heaven's Rook". You can discard 2 cards; This card can remove from play itself and banish another monster on the field. If it is removed from play by this effect, summon "Hell's Rook".
Earthly Princess		B	5	Earth	2000	2600	Monster	If this card is still on the field after 4 turns since its summon, and it has no Sin Counters, sacrifice it and summon "Heaven's Queen". Once per turn, you can destroy 1 of your monsters and give this card 1 Sin Counter. If this card is destroyed while it has at least 3 Sin Counters, summon "Hell's Queen".
Earthly Prince		B	5	Earth	1800	2600	Monster	If this card is still on the field after 4 turns since its summon, and it has no Sin Counters, sacrifice it and summon "Heaven's King". Once per turn, you can destroy the monster on your field with the highest ATK or highest HP other than this card, and give this card a Sin Counter. If this card is destroyed while it has 3 Sin Counters, summon "Hell's King".
Earthly Court		C	3	Arena	N/A	N/A	Arena	All "Earthly" monsters gain 400 ATK. If they would be destroyed, you can pay 3 moons instead and reset their HP.
Magician of Gandorah		B	5	Magic	2400	3500	Monster	{ The strongest magician in all of Gandorah, his powers rival the Princess of the Earthly Court. }
Dragon of Gandorah		B	5	Seraphim	2200	3400	Monster	{ Its golden wings beat in the air as it flies across the clear sky. }
Princess Kris - Past Year		C	4	Magic/Deity	1600	2400	Monster	Once every other turn, this card gains a Past Counter. Once per turn, you can subtract 1 Past Counter from this card and flip a coin. If heads, select 1 monster; it loses 700 ATK. If tails, pay 1 moon. { A Time demigod in Training who wishes to one day follow her mother's footsteps into godhood. }
Rigamortis		B	2	Fire	2600	3500	Sacrifice	{ A flame manipulator who mastered his craft by working under the king of Hell. }
Exception		B	4	Instant	N/A	N/A	Assist	Select 1 monster. This turn, it cannot be attacked or targeted.
Faketrip		A	3	Cantrip	N/A	N/A	Cantrip	If a Cantrip is played, discard 1 card and negate it.
Reason - Furtherworld Kaiju		A	6	Deity/Kaiju	2600	4600	Monster	When this card is summoned, select 3 of your opponent's zones. Those zones are locked until this card leaves the field.
Thalia - Kaiju of the Crescent Moon		B	5	Magic/Kaiju	2200	3400	Monster	Once every other turn, gain 1 moon.
Kildren - Psychosis Kaiju		A	6	Magic/Kaiju	1800	3800	Monster	Once per turn, you can pay 5 moons to activate the following effect: "Select 1 monster from either graveyard. Summon a 0/0, 0-moon, Magic-Type "Psychosis" Token with the effect of the monster you chose. While this token remains on the field, another one cannot be summoned. You lose 1000LP each turn this token is on the field. You take no overshoot damage from this token. You can choose to sacrifice this token in the End Phase."
Zyorak - Alterworld Kaiju		A	6	Deity/Kaiju	2400	4600	Monster	Once every other turn, you can discard a card; unlock 1 of your zones and lock 1 of your opponent's zones.
Gandorah - Kaiju Ruler of Gandorah		A	6	Fire/Kaiju	2700	4000	Monster	Every other Kaiju monster on your side of the field gains 700 ATK.
