Name		Grade	Moons	Type	ATK	HP	Card Type	Skill/Effect													
Oriya, Old God of Envy		Grade-SS	6	Water / Deity	5000	6000	Monster	Once per turn, you can summon a monster. 													
Cursed Teddy Bear		Grade-D	0	Magic/Dark	800	1400	Monster	Destroy this card to destroy another card.													
Supersonic Speed!		Grade-C	N/A	Instant	N/A	N/A	Assist	If a monster is attacked, then the damage is 0.													
Brainwash		Grade-B	N/A	One-Turn	N/A	N/A	Assist	Take control of 1 monster.													
Desserts		Grade-C	N/A	Instant	N/A	N/A	Assist	Gain 2 Moons.													
Carbon Wall		Grade-S	N/A	Multi-Turn	N/A	N/A	Assist	Stun your opponent's monsters for 2 turns.													
Assailant		Grade-D	0	None	500	1000	Monster	Destroy a card in your opponent's hand.													
White Knight Yang		Grade-A	4	Light	2500	3000	Monster	If "Black Knight Yin" is on the field, this card cannot be attacked.													
Black Knight Yin		Grade-A	4	Dark	3000	2500	Monster	If "White Knight Yang" is on the field, this card cannot be attacked.													
Junkyard Dragon		Grade-B	2	Metal / Magic	2000	2300	Monster	This card can be summoned from the Grave for 1 Moon.													
Winds of Everest		Grade-C	N/A	Multi-Turn	N/A	N/A	Assist	No monsters can be summoned for 2 turns.													
Destructive Power		Grade-B	N/A	One-Turn	N/A	N/A	Assist	Select 1 monster. It gains 1500 ATK and HP. When this card expires, the selected monster is destroyed.													
Ice Cap Turtle		Grade-F	0	Water	100	800	Monster	Not affected by Skills.													
Great Divide		Grade-C	N/A	One-Turn	N/A	N/A	Assist	All monster's ATK and HP are halved.													
Turret Dragon		Grade-B	2	Dragon / Tech	1000	2000	Monster	Once per game, this card can destroy one of your monsters to destroy 2 of your opponent's monsters.													
Rewind		Grade-A	N/A	Instant	N/A	N/A	Assist	Destroy any cards played this turn.													
Fast-Forward		Grade-S	N/A	Instant	N/A	N/A	Assist	Skip your opponent's turn.													
Blizzard		Grade-C	N/A	Multi-Turn	N/A	N/A	Assist	For 2 turns, all monsters are Water types.													
Prayer of Life		Grade-S	N/A	Instant	N/A	N/A	Assist	Summon a monster from the Grave.													
Sandstone Golem		Grade-A	3	Earth	2500	3200	Monster	Once per turn, if you destroy an Earth monster, then this card gains 1000 ATK until the end of the turn.													
